국가,백신보유량,인구당_백신보유율,1차접종,2차접종,일별접종수
Global Total,6274924500.0,-999.0,-999.0,-999.0,31175856.0
Mainland China,2208921000.0,78.9,82.5,74.8,3191143.0
India,890038700.0,32.5,47.2,17.1,6966795.0
EU,565966140.0,63.7,67.6,65.1,1033298.0
U.S.,392909980.0,61.4,64.6,55.6,725777.0
Brazil,234674910.0,56.8,71.5,42.3,1332519.0
Japan,163738220.0,64.9,70.3,59.5,1138904.0
Indonesia,142192370.0,26.6,33.7,18.9,1737233.0
Turkey,109525624.0,65.9,64.8,53.5,373487.0
Germany,107653600.0,64.8,68.0,64.5,186276.0
Mexico,100516960.0,39.4,49.9,35.5,427607.0
France,94573790.0,72.9,77.5,74.8,248504.0
U.K.,93696490.0,70.1,73.1,67.2,63684.0
Russia,90580440.0,30.9,32.7,28.7,230809.0
Italy,84757630.0,70.2,74.7,74.8,203654.0
Pakistan,80508570.0,19.7,28.5,13.4,763207.0
Spain,70083820.0,75.4,81.1,78.8,63084.0
South Korea,64172690.0,62.1,75.4,48.7,636888.0
Canada,56166788.0,74.8,76.2,70.6,91010.0
Iran,51950784.0,31.2,43.6,18.8,953168.0
Argentina,51773290.0,57.6,65.9,49.3,213630.0
Thailand,49681430.0,35.7,45.4,26.0,609736.0
Bangladesh,48225450.0,14.5,18.9,10.0,2266632.0
Philippines,45147576.0,21.0,25.2,22.4,355457.0
Malaysia,43367580.0,66.6,71.7,61.7,304623.0
Saudi Arabia,42106416.0,61.8,68.6,54.9,106478.0
Vietnam,41153040.0,21.3,33.4,9.3,702595.0
Morocco,41099860.0,57.7,62.7,52.8,284169.0
Colombia,40168280.0,39.9,51.7,33.1,185394.0
Poland,37212956.0,49.0,52.2,51.1,19980.0
Chile,31887444.0,83.4,79.4,73.9,110980.0
Australia,27750500.0,54.4,64.3,43.3,281141.0
Peru,26327868.0,39.7,47.4,32.0,239333.0
Sri Lanka,26233218.0,60.2,66.4,53.7,127671.0
Cambodia,24090068.0,73.0,80.5,66.6,141465.0
Netherlands,23585124.0,68.4,74.4,66.9,20723.0
Cuba,20788248.0,91.7,81.7,44.0,244895.0
Ecuador,20773286.0,60.1,65.1,57.3,33531.0
UAE,20052400.0,93.3,86.4,76.6,48425.0
Uzbekistan,19969344.0,30.0,29.4,12.9,269547.0
Ukraine,18235448.0,21.8,30.2,13.5,158539.0
